RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           47     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  172  254     1     4  con    0   1.0D+00   3.9D-02  1.779D+01  4.000D+03
  173  255     1     4  con    0   1.0D+00   4.7D-02  2.341D+01  4.000D+03
  174  257     1     0  bnd    1   1.9D-01   1.8D-01  1.781D+01  4.000D+03
  175  259     1     4  con    1   3.4D-01   2.3D-01  1.782D+01  4.000D+03
  176  260     1     4  con    0   1.0D+00   3.9D-01  1.782D+01  4.000D+03
  177  261     1     4  con    0   1.0D+00   1.2D-01  1.782D+01  3.999D+03
  178  262     1     4  bnd    0   1.0D+00   5.5D-01  1.784D+01  3.999D+03
  179  263     1     5  con    0   1.0D+00   4.2D-01  1.785D+01  3.999D+03
  180  264     1     5  con    0   1.0D+00   4.0D-01  1.786D+01  3.998D+03
  181  266     1     5  con    1   1.8D-01   3.1D-01  1.787D+01  3.998D+03
  182  268     1     5  con    1   4.6D-01   2.8D-01  1.787D+01  3.998D+03
  183  269     1     5  con    0   1.0D+00   4.5D-01  1.788D+01  3.998D+03
  184  271     1     5  con    1   1.7D-01   8.1D-02  1.789D+01  3.998D+03
  185  272     1     5  con    0   1.0D+00   8.2D-01  2.281D+01  3.997D+03
  186  274     1     0  bnd    1   1.2D-01   2.8D-01  1.791D+01  3.997D+03
  187  275     5     5  con    0   1.0D+00   3.2D-01  1.792D+01  3.997D+03
  188  276     1     5  con    0   1.0D+00   2.8D-01  1.792D+01  3.997D+03
  189  277     1     5  con    0   1.0D+00   3.7D-01  1.793D+01  3.997D+03
  190  279     1     5  con    1   2.2D-01   3.1D-01  1.794D+01  3.997D+03
  191  280     1     5  con    0   1.0D+00   6.3D-01  1.795D+01  3.997D+03
  192  281     1     5  con    0   1.0D+00   1.0D-02  1.794D+01  3.997D+03
  193  282     1     5  con    0   1.0D+00   4.7D-01  1.795D+01  3.996D+03
  194  285     1     5  bnd    2   3.8D-02   1.4D-01  1.796D+01  3.996D+03
  195  287     1     5  con    1   4.5D-01   4.5D-01  1.796D+01  3.996D+03
  196  288     1     5  con    0   1.0D+00   4.1D-01  1.797D+01  3.996D+03
  197  289     1     5  con    0   1.0D+00   7.1D-01  1.471D+01  3.996D+03
  198  291     1     4  bnd    1   1.7D-01   2.2D-01  1.797D+01  3.996D+03
  199  293     2     5  con    1   4.1D-01   2.7D-01  1.798D+01  3.996D+03
  200  294     2     5  con    0   1.0D+00   1.7D-01  1.798D+01  3.995D+03
  201  295     1     5  con    0   1.0D+00   2.2D-01  1.467D+01  3.995D+03
  202  297     1     5  con    1   2.7D-01   2.4D-01  1.798D+01  3.995D+03
  203  299     1     5  con    1   4.5D-01   1.8D-01  1.798D+01  3.995D+03
  204  300     1     5  con    0   1.0D+00   2.5D-01  1.798D+01  3.995D+03
  205  303     1     5  bnd    2   3.5D-02   2.1D-01  1.799D+01  3.995D+03
  206  304     1     5  con    0   1.0D+00   3.6D-01  1.800D+01  3.995D+03
  207  305     1     5  con    0   1.0D+00   5.6D-01  1.801D+01  3.994D+03
  208  306     1     5  con    0   1.0D+00   3.4D-01  6.481D+00  3.994D+03
  209  308     1     1  con    1   2.8D-01   2.6D-01  1.803D+01  3.994D+03
  210  310     5     5  con    1   4.3D-01   2.1D-01  1.803D+01  3.994D+03
  211  311     5     5  con    0   1.0D+00   3.4D-01  1.804D+01  3.994D+03
  212  312     1     5  bnd    0   1.0D+00   3.2D-01  1.805D+01  3.994D+03
  213  313     1     6  con    0   1.0D+00   4.1D-01  1.806D+01  3.994D+03
  214  314     1     6  con    0   1.0D+00   4.1D-01  1.807D+01  3.993D+03
  215  316     1     6  con    1   3.8D-01   2.0D-01  1.808D+01  3.993D+03
  216  318     1     6  con    1   4.3D-01   3.7D-01  1.809D+01  3.993D+03
  217  320     1     6  con    1   4.0D-01   3.5D-01  1.809D+01  3.993D+03
  218  321     1     6  con    0   1.0D+00   3.5D-01  1.808D+01  3.993D+03
  219  322     1     6  con    0   1.0D+00   3.2D-01  2.284D+01  3.993D+03
  220  324     1     0  bnd    1   1.7D-01   4.2D-01  1.809D+01  3.993D+03
  221  326     5     5  con    1   3.5D-01   2.4D-01  1.810D+01  3.993D+03
  222  327     5     5  con    0   1.0D+00   2.5D-01  1.810D+01  3.992D+03
  223  328     1     5  con    0   1.0D+00   5.5D-01  1.811D+01  3.992D+03
  224  329     1     5  con    0   1.0D+00   9.3D-02  2.285D+01  3.992D+03
  225  330     1     0  con    0   1.0D+00   3.4D-01  1.812D+01  3.992D+03
  226  332     1     0  bnd    1   1.6D-01   2.9D-01  1.812D+01  3.992D+03
  227  333     1     0  con    0   1.0D+00   3.0D-01  1.812D+01  3.992D+03
  228  334     1     0  con    0   1.0D+00   3.7D-01  1.813D+01  3.992D+03
  229  335     1     0  con    0   1.0D+00   5.0D-01  1.814D+01  3.992D+03
  230  337     1     0  bnd    1   2.5D-01   3.6D-01  1.814D+01  3.992D+03
  231  338     1     0  con    0   1.0D+00   7.5D-01  1.815D+01  3.992D+03
  232  339     1     0  con    0   1.0D+00   4.0D-02  1.815D+01  3.991D+03
  233  340     1     0  bnd    0   1.0D+00   6.1D-01  1.816D+01  3.991D+03
  234  342     1     1  con    1   3.2D-01   4.5D-01  1.817D+01  3.991D+03
  235  343     1     1  con    0   1.0D+00   6.6D-01  1.817D+01  3.991D+03
  236  344     1     1  con    0   1.0D+00   4.6D-01  1.818D+01  3.991D+03
  237  346     1     0  bnd    1   3.8D-01   5.1D-01  1.819D+01  3.991D+03
  238  347     1     1  con    0   1.0D+00   7.8D-01  1.820D+01  3.991D+03
  239  348     1     1  con    0   1.0D+00   7.1D-02  1.820D+01  3.991D+03
  240  349     1     1  con    0   1.0D+00   6.9D-01  1.821D+01  3.991D+03
  241  351     1     1  con    1   4.1D-01   5.5D-01  1.822D+01  3.991D+03
  242  352     1     1  con    0   1.0D+00   7.0D-01  1.823D+01  3.990D+03
  243  353     1     1  con    0   1.0D+00   7.0D-01  1.822D+01  3.990D+03
  244  355     1     1  con    1   4.8D-01   6.3D-02  1.600D+01  3.990D+03
  245  356     1     0  bnd    0   1.0D+00   6.4D-01  1.822D+01  3.990D+03
  246  357     1     1  con    0   1.0D+00   3.5D-01  1.823D+01  3.990D+03
  247  359     1     1  con    1   3.2D-01   6.3D-01  1.823D+01  3.990D+03
  248  361     1     1  con    1   3.8D-01   3.8D-01  1.824D+01  3.990D+03
  249  362     1     1  con    0   1.0D+00   7.0D-01  1.824D+01  3.990D+03
  250  363     1     1  con    0   1.0D+00   3.9D-01  2.297D+01  3.990D+03
  251  365     1     0  con    1   2.2D-01   5.5D-01  1.825D+01  3.990D+03
  252  367     1     0  bnd    1   3.3D-01   2.4D-01  1.826D+01  3.990D+03
  253  368     1     0  bnd    0   1.0D+00   3.4D-01  1.825D+01  3.989D+03
  254  369     1     1  bnd    0   1.0D+00   6.4D-01  1.827D+01  3.989D+03
  255  371     1     2  con    1   4.1D-01   1.3D-01  1.827D+01  3.989D+03
  256  374     1     2  con    2   2.1D+01   4.7D-01  1.827D+01  3.989D+03
  257  377     1     2  con    2   1.2D-01   3.4D-01  1.827D+01  3.989D+03
  258  378     1     2  con    0   1.0D+00   3.4D-01  1.828D+01  3.989D+03
  259  379     1     2  con    0   1.0D+00   3.8D-01  1.828D+01  3.989D+03
  260  381     1     2  con    1   4.2D-01   2.5D-01  1.829D+01  3.989D+03
  261  383     1     2  con    1   4.1D-01   2.8D-01  1.829D+01  3.989D+03
  262  384     1     2  con    0   1.0D+00   3.9D-01  2.170D+01  3.989D+03
  263  386     1     1  bnd    1   1.8D-01   3.7D-01  1.831D+01  3.989D+03
  264  387     1     2  con    0   1.0D+00   1.3D-01  1.831D+01  3.989D+03
  265  389     1     2  bnd    1   5.0D-01   4.4D-01  1.832D+01  3.989D+03
  266  390     1     2  bnd    0   1.0D+00   4.5D-01  1.832D+01  3.988D+03
  267  391     1     3  con    0   1.0D+00   3.6D-01  2.303D+01  3.988D+03
  268  393     1     0  bnd    1   2.1D-01   3.7D-01  1.834D+01  3.988D+03
  269  395     1     3  con    1   1.9D-01   2.1D-01  1.834D+01  3.988D+03
  270  396     1     3  con    0   1.0D+00   2.2D-01  1.835D+01  3.988D+03
  271  397     1     3  con    0   1.0D+00   3.7D-01  1.835D+01  3.988D+03
  272  398     1     3  con    0   1.0D+00   3.4D-01  1.836D+01  3.988D+03
  273  400     1     3  con    1   3.7D-01   3.0D-01  1.837D+01  3.988D+03
  274  401     1     3  con    0   1.0D+00   5.3D-01  1.838D+01  3.988D+03
  275  402     1     3  bnd    0   1.0D+00   1.5D-01  2.048D+00  3.988D+03
  276  404     1     3  bnd    1   5.4D-01   3.6D-01  1.839D+01  3.988D+03
  277  406     1     4  con    1   4.1D-01   1.5D-01  1.839D+01  3.988D+03
  278  407     1     4  con    0   1.0D+00   2.6D-01  1.840D+01  3.987D+03
  279  408     1     4  con    0   1.0D+00   2.2D-01  1.840D+01  3.987D+03
  280  410     1     4  con    1   2.6D-01   1.9D-01  1.841D+01  3.987D+03
  281  411     1     4  con    0   1.0D+00   3.3D-01  1.841D+01  3.987D+03
  282  412     1     4  con    0   1.0D+00   3.0D-02  1.841D+01  3.987D+03
  283  413     1     4  con    0   1.0D+00   1.8D-01  1.841D+01  3.987D+03
  284  415     1     4  con    1   4.7D-01   2.0D-01  1.842D+01  3.987D+03
  285  416     1     4  con    0   1.0D+00   1.7D-01  1.842D+01  3.987D+03
  286  417     1     4  con    0   1.0D+00   2.3D-01  9.059D+00  3.987D+03
  287  419     1     4  con    1   2.6D-01   3.4D-01  1.843D+01  3.987D+03
  288  421     1     4  con    1   2.9D-01   3.5D-01  1.843D+01  3.987D+03
  289  422     1     4  con    0   1.0D+00   7.1D-01  1.844D+01  3.987D+03
  290  423     1     4  con    0   1.0D+00   3.0D-01  1.845D+01  3.987D+03
  291  424     1     4  bnd    0   1.0D+00   4.8D-01  1.845D+01  3.987D+03
  292  425     1     5  con    0   1.0D+00   1.9D-02  1.845D+01  3.987D+03
  293  426     1     5  con    0   1.0D+00   1.9D-01  1.845D+01  3.987D+03
  294  427     1     5  con    0   1.0D+00   3.9D-01  1.846D+01  3.987D+03
  295  429     1     5  bnd    1   2.7D-01   4.1D-01  1.846D+01  3.987D+03
  296  431     1     5  con    1   4.2D-01   3.4D-01  1.847D+01  3.987D+03
  297  432     1     5  con    0   1.0D+00   2.6D-01  1.847D+01  3.987D+03
  298  433     1     5  con    0   1.0D+00   1.5D-01  3.298D+00  3.986D+03
  299  435     1     4  con    1   3.2D-01   2.7D-01  1.848D+01  3.986D+03
  300  437     2     5  con    1   1.8D-01   3.4D-01  1.848D+01  3.986D+03
  301  438     2     5  con    0   1.0D+00   4.7D-01  1.849D+01  3.986D+03
  302  439     1     5  con    0   1.0D+00   2.4D-01  1.849D+01  3.986D+03
  303  440     1     5  con    0   1.0D+00   6.6D-01  1.850D+01  3.986D+03
  304  441     1     5  con    0   1.0D+00   5.7D-01  1.850D+01  3.986D+03
  305  443     1     5  bnd    1   3.2D-01   2.9D-01  1.850D+01  3.986D+03
  306  444     1     5  con    0   1.0D+00   8.1D-01  1.851D+01  3.986D+03
  307  445     1     5  con    0   1.0D+00   8.0D-02  4.584D+00  3.986D+03
  308  446     1     4  bnd    0   1.0D+00   4.8D-01  1.852D+01  3.986D+03
  309  447     2     6  con    0   1.0D+00   4.2D-01  1.852D+01  3.986D+03
  310  448     1     6  con    0   1.0D+00   4.4D-01  1.852D+01  3.986D+03
  311  449     1     6  con    0   1.0D+00   4.4D-01  1.852D+01  3.986D+03
  312  451     1     6  con    1   4.6D-01   4.6D-01  1.853D+01  3.986D+03
  313  452     1     6  con    0   1.0D+00   6.6D-01  1.853D+01  3.986D+03
  314  453     1     6  con    0   1.0D+00   4.4D-01  9.181D-01  3.986D+03
  315  455     1     4  bnd    1   3.8D-01   5.1D-01  1.853D+01  3.986D+03
